key,carte,shape,image,text_fr,text_en,desc_fr,desc_en,example_fr,example_en,latin,proverbe,link_fr,link_en
1.2.1.2,,circle,,Par le respect (ad verecundiam),,,,,,,,https://fr.wikipedia.org/wiki/Argument_d%27autorit%C3%A9,
1.2.1.2.1,,circle,,Appel à l'accomplissement,,,,,,,,https://en.wikipedia.org/wiki/Appeal_to_accomplishment,
1.2.1.2.1.1,,circle,,Appel à la lune,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/43/Appeal-to-the-Moon,
1.2.1.2.1.2,,circle,,Appel à la conversion,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/166/Statement-of-Conversion,
1.2.1.2.1.3,,circle,,Appel à la célébrité,,,,,,,,http://www.fallacyfiles.org/apcelebs.html,
1.2.1.2.2,,circle,,Appel à l'humilité,,,,,,,,http://www.charlatans.info/logique-suite.shtml#humilite,
1.2.1.3,,circle,,Ultracrepidarianisme,,,,,,,,http://rationalwiki.org/wiki/Ultracrepidarianism,
1.2.1.3.1,,circle,,Professeur de rien,,,,,,,,http://rationalwiki.org/wiki/Professor_of_nothing,
1.2.1.3.2,,circle,,Autorité Anonyme,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/18/Anonymous-Authority,
1.2.1.3.3,,circle,,Ipse Dixit,,,,,,,,http://rationalwiki.org/wiki/Ipse_dixit,
1.2.1.3.3.1,,circle,,Autothéisme par procuration,,,,,,,,http://rationalwiki.org/wiki/Vicarious_autotheism,
1.2.1.3.3.1.1,,circle,,Chrétienté de cafétaria,,,,,,,,http://rationalwiki.org/wiki/Cafeteria_Christian,
1.2.2,,circle,,Sophisme naturaliste,,,,,,,,https://fr.wikipedia.org/wiki/Paralogisme_naturaliste,
1.2.2.1,,circle,,Sophisme est-doit,,,,,,,,http://www.bargain-storage.com/uploads/9/8/7/4/9874916/attacking.faulty.reasoning.a.practical.guide.to.fallacyfree.arguments.pdf#page=158,
1.2.2.2,,circle,,Raison de la majorité (ad populum),,,,,,,,https://fr.wikipedia.org/wiki/Argumentum_ad_populum,
1.2.2.2.1,,circle,,3 hommes font un tigre,,,,,,,,https://en.wikipedia.org/wiki/Three_men_make_a_tiger,
1.2.2.2.2,,circle,,Agiter le drapeau,,,,,,,,https://en.wikipedia.org/wiki/Flag-waving,
1.2.2.2.3,,circle,,Boire le Kool Aid,,,,,,,,https://en.wikipedia.org/wiki/Drinking_the_Kool-Aid,
1.2.2.2.4,,circle,,Ad numerum,,,,,,,,https://infidels.org/library/modern/mathew/logic.html#numerum,
1.2.2.3,,circle,,Appel à la tradition,,,,,,,,https://fr.wikipedia.org/wiki/Argumentum_ad_antiquitatem,
1.2.2.3.1,,circle,,Argument de l'age (ad antiquitatem),,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/50/Argument-from-Age,
1.2.2.3.2,,circle,,Pas inventé ici,,,,,,,,https://en.wikipedia.org/wiki/Not_invented_here,
1.2.2.4,,circle,,Appel à la nature,,,,,,,,https://en.wikipedia.org/wiki/Appeal_to_nature,
1.2.2.4.1,,circle,,Ecoblanchiment (greenwashing),,,,,,,,https://fr.wikipedia.org/wiki/%C3%89coblanchiment,
1.2.2.4.2,,circle,,Technophobie,,,,,,,,https://fr.wikipedia.org/wiki/Technophobie,
1.2.2.4.3,,circle,,Le bon sauvage,,,,,,,,https://fr.wikipedia.org/wiki/Bon_sauvage,
1.2.3,,circle,,Sophisme moraliste,,,,,,,,https://en.wikipedia.org/wiki/Moralistic_fallacy,
1.2.3.1,,circle,,Appel à la foi,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/31/Appeal-to-Faith,
1.2.3.1.1,,circle,,Argument par la futur,,,,,,,,http://www.don-lindsay-archive.org/skeptic/arguments.html#future,
1.2.3.2,,circle,,Argument de la nouveauté (ad novitatem),,,,,,,,https://fr.wikipedia.org/wiki/Argumentum_ad_novitatem,
1.2.3.2.1,,circle,,Snobisme chronologique,,,,,,,,https://en.wikipedia.org/wiki/Chronological_snobbery,
1.2.3.3,,circle,,moral high ground fallacy,,,,,,,,https://en.wikipedia.org/wiki/Moral_high_ground#Everyday_use,
1.2.3.3.1,,circle,,Snobbisme,,,,,,,,https://fr.wikipedia.org/wiki/Snob,
1.2.3.3.1.1,,circle,,Elitisme,,,,,,,,https://fr.wikipedia.org/wiki/%C3%89litisme,
1.2.3.3.2,,circle,,Argument du politiquement correct,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/141/Political-Correctness-Fallacy,
1.2.3.3.2.1,,circle,,Blasphème,,,,,,,,http://skepdic.com/blasphemy.html,
1.2.3.3.2.2,,circle,,Manquement à l'étiquette,,,,,,,,https://fr.wikipedia.org/wiki/%C3%89tiquette_(code),
1.2.3.4,,circle,,Le style avant la substance,,,,,,,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/170/Style-Over-Substance,
1.2.3.4.1,,circle,,Argument du design,,,,,,,,,
1.2.3.4.1.1,,circle,,Argument de la beauté,,,,,,,,http://rationalwiki.org/wiki/Argument_from_beauty,
