PK,path,depth,état,carte,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,desc_en,Len115,example_fr,Lxfr145,example_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
9,1.1.1.1.3.2,6,,,,Jusqu'à preuve du contraire,27,True untill proven false. XXXptet inverser simple et text_en,The squeaky wheel,17,,https://en.wikipedia.org/wiki/The_squeaky_wheel_gets_the_grease*,Vous fondez la validité d'une affirmation sur l'absence de contestation ou de réfutation.,89,Grounding the validity of an argument on the absence of contrary evidence rather than on supporting evidence.,109, ,1,,,"lien transverse avec renversement de la charge de la preuve
",The squeaky wheel gets the grease.,,,The squeaky wheel gets the grease.,,,circle,,,
10,1.1.1.1.4,5,,,,Argument de l'ami,17,,The friend argument,19,http://rationalwiki.org/wiki/Argument_de_l%27 amis,,"Accusé de préjugé (racisme, homophobie...), vous vous défendez en invoquant un ami parmi le groupe concerné.",108,Invoking a friend within a group in order to fend off accusations of prejudice against that group.,98,Je ne suis pas antisémite puisque j'ai un ami juif. 'Je ne suis pas un meurtrier puisque certain de mes amis sont vivants,121,"I'm not antisemitic, I have a great friend who is jew.",,,,,,Il ne sert à rien de montrer les dents lorsqu'on est édenté.,,,circle,,,
11,1.1.1.1.5,5,,,"Je n'aime aucun des titres. Chercher vers Clairvoyance subjective, discernement infus, y a pas un perso grec qui a le jugement parfait? ",ça se voit / science infuse non c'est pas çaXXX,47,,I know it when I see it,23,https://en.wikipedia.org/wiki/I_know_it_when_I_see_it,https://en.wikipedia.org/wiki/I_know_it_when_I_see_it,"Au lieu d'une définition objective, vous utilisez votre jugement subjectif et arbitraire pour discerner une catégorie.",118,"Instead of relying on objective definitions, asserting one's individual, subjective and arbitrary judgement.",108,"Je ne définirais pas la nature de la pornographie, mais ""je sais quand je le vois"" que n'est pas ici le cas. ",109,"""I shall today attempt further to define [""hard-core pornography""], but I know it when I see it"". The phrase was famously used in 1964 by United States Supreme Court Justice Potter Stewart to describe his threshold test for obscenity.",,,,,,,,,circle,,,
12,1.1.1.1.6,5,,,,Appel à la fiction,18,,Appeal to fiction,17,,http://rationalwiki.org/wiki/Generalization_from_fictional_evidence,Vous vous servez d'éléments issus de la fiction pour étayer une thèse à propos du monde réel.,93,Making claims about reality on the basis of evidence drawn from fictional works.,80,"Le roman ""1984"" décrit une situation totalitaire. Le gouvernement ressemble à la situation décrite dans ""1984"". Donc ce gouvernement fait une politique totalitaire. ",165,Google is like Big Brother.,,,,,,,,,circle,,,
13,1.1.1.2,4,"Jesse OK
",1,,Pratique courante,17,,Appeal to common practice,25,http://autopsia.fr/sophismes-arguments-autorite,http://www.nizkor.org/features/fallacies/appeal-to-common-practice.html,Vous justifiez une manière de faire par son usage commun.,57,"Justifying choices, methods or actions on grounds that they are common practice.",80,Tout le monde dépasse les limites de vitesse; cela ne devrait donc pas être sanctionné.,87,Everyone evades taxes as much as they can. Why wouldn't I?,58,le lien FR le met sous arguments d'autorité... lien transverse?,,,,"""Tout le monde le fait""",,,circle,homme sous un mouton,,
14,1.1.1.2.1,5,,,,Certitude supposée,18,,Alleged certainty,17,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/15/Alleged-Certainty,Vous supposez que tout le monde partage votre certitude.,56,"Asserting a claim through a statement that makes it appear certain when, in fact, it is not.",92,"Tout le monde veut avoir chaud en hiver, donc le chauffage central est nécessaire.XXXbein là c pas ça. c'est vrai que tout le monde veut avoir chaud... XXXTout le monde sait que les hommes préhistoriques chassaient le lion pendant que les femmes restaient avec les petits. Donc le patriarcat est naturel.",304,"Everyone knows that cavemen hunted wild beasts whilst the women cared for the young. So, patriarchy is a natural fact.",,,,,,"""Enfoncer une porte ouverte"" XXXc pas ça ""Le soleil n'échauffe que ce qu'il voit.""",,,circle,,,
15,1.1.1.2.1.1,6,,,,Appel à la majorité silencieuse,31,,Appeal to silent majority.,26,,http://rationalwiki.org/wiki/Silent_Majority,"Vous invoquez un grand nombre de personnes qui bien qu'elles ne l'aient pas exprimé, soutiennent votre proposition.",115,"Calling upon a hypothetical mass of citizens that support a proposition, but have not publicly expressed this in any tangible way.",130,,0,,,,,,,,,,circle,,,
16,1.1.1.2.2,5,,,,Appel à la normalité,20,,Appeal to normality,19,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/37/Appeal-to-Normality,Vous utilisez une norme comme critère du bien ou du souhaitable. ,65,Using a norm to characterize what is good or desirable.,55,"Je n'ai qu'un léger surpoid, ce qui est parfaitement normal ici.XXXbof: 1- l'exemple de lohicallyfallacious parle d'obésité normale aux US; 2- juger l'obésité comme un ""mal"" rendrait le jeu critiquable.  XXX",207,,,,,,,,,,circle,,,
17,1.1.1.2.3,5,,,Appel au péquin moyen,"Appel à l'homme de base.
",25,,Appeal to common folk,21,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/25/Appeal-to-Common-Folk,Vous prétendez être comme tout le monde pour persuader l'auditoire que votre proposition participe du bien commun.,114,Pretending to be common folk in order to convince that your proposition is good for all.,88,"Je suis comme vous : je m'habille tous les matins avant d'aller beaucoup travailler. Donc la réforme fiscale que je propose est bonne pour vous. XXXHollande: ""je suis un Président normal""",187,I too have to wear clothe at work. So the tax reform I propose must be good for you too.,,Lien transversse avec connivence,,,,,,,circle,,,
18,1.1.1.2.4,5,,,,Renforcement communal,21,,Communal reinforcement,22,,http://skepdic.com/communalreinforcement.html,Vous utilisez la répétition d'opinions concordantes au sein d'une communauté pour la persuader.,95,Repeating assertions consistent with an idea within a community in order to convince its members despite lack of evidence.,122,On ne peux manger qu'avec sa main gauche.XXX ??,47,"Repeating in all media, with experts at hand, that a given candidate is a dangerous communist, contrary to all evidence.",,,,,,"L'habit ne fait pas le moine.""        
",,,circle,,,
