PK,path,depth,état,carte,nom_vulgarisé,text_fr,LTfr,Simple_name_en,text_en,LTen,link_fr,link_en,desc_fr,Lfr115,desc_en,Len115,example_fr,Lxfr145,example_en,Lxen145,Remarques,latin,exemple politique,political_example_en,proverbe,+liens transverses,type lien transverse,shape,image,svg_color,svg_illustration
136,1.3.2.1.1,5,,,,Argument des mauvaises explications,35,,Argument from wrong explanation,31,,http://rationalwiki.org/wiki/Substituting_explanation_for_premise,Vous argumentez qu'un phénomène n'a pas eu lieu car les explications qui en sont données sont erronnées.,104,Taking a flawed explanation for a phenomenon as evidence that the phenomenon did/does not occur at all.,103,"Les tours du World Trade Center ne se sont pas effondrées sous le simple effet des avions, donc le 11 Septembre 2001 n'a pas eu lieu. ",134,,,,,,,,,,circle,,,
137,1.3.2.2,4,,,,À qui profite le crime?,23,,Whom does it profit?,20,https://fr.wikipedia.org/wiki/Cui_bono,https://en.wikipedia.org/wiki/Cui_bono,"Vous disqualifiez une thèse ou une proposition parce qu'elle profite à ceux qui la soutiennent, sans juger de son bien-fondé.",125,"Discarding a proposal because it benefits its proponents, whithout considering its soundness.",93,A qui profite le crime ?,24,,,,Cui Bono,,,,,,circle,,,
138,1.3.2.2.1,5,,,,Suivez l'argent / Argument de la vénalité,41,,Follow the money,16,,https://en.wikipedia.org/wiki/Follow_the_money,Vous disqualifiez une thèse ou une proposition en accusant ceux qui la soutiennent d'y gagner de l'argent.,106,"Discarding a proposal on grounds that its proponents aim to earn money from it.
",80,Le président n'a fait que renvoyer l'ascenseur aux multinationales. ,68,,,,,,,,,,circle,,,
139,1.3.2.3,4,,,,Argument des motivations,24,,Argument from motives.,22,,https://en.wikipedia.org/wiki/Appeal_to_motive,Vous contestez une thèse en critiquant les motivations de ceux qui la soutiennent.,82,Challenging a thesis by calling into question the motives of its proposer.,74,Il veut construire l'école dans ce quartier pour qu'elle soit plus proche de leur domicile. ,92,,,lien t ad hominem circonstancia,,,,,,,circle,,,
140,1.3.2.3.1,5,,,,Appel à l'intention éditoriale,30,,Argument from editor's intent.,30,,https://en.wikipedia.org/wiki/Authorial_intent#New_Criticism,Vous critiquez la ligne éditoriale du media ou paraît une argumentation plutôt que l'argumentation elle-même.,109,Criticizing the editorial intent of the media in which an argumentation is published rather than the argumentation itself.,122,"Depuis que la droite est passée au pouvoir, ce journal a perdu beaucoup de sa vigueur. ",87,,,à la limite de l'anecdotique. on peut l'enlever à mon avis.,,,,,,,circle,,,
141,1.3.2.3.2,5,,,,Procès d'intention,18,,"Inputation of hidden motives
",29,https://fr.wikipedia.org/wiki/ProcA13%A8s_d%27intention,,Vous accusez les défenseurs d'une thèse de la soutenir dans le but de faire avancer des objectifs personnels non-dit.,117,Accusing the proponents of a thesis to support it in order to push a hidden agenda.,83,"Si elle a acheté ces bonbons, c'est pour empoisonner les enfants. ",66,,,,,,,,,,circle,,,
142,1.3.2.3.3,5,,,,Sophisme psychogénétique,24,,Psychogenetic fallacy,21,,http://www.don-lindsay-archive.org/skeptic/arguments.html#psycho,Vous disqualifiez une argumentation en montrant les raisons psychologique pour lesquelles ses défenseurs la proposent.,118,Challenging an argumentation by showing the psychological reasons for its proponents to develop it.,99,"Si les arabes aiment tant la drogue, c'est que ça leur achète la paix sociale. ",79,,,,,,,,,,circle,,,
143,1.3.2.3.3.1,6,,,,Ad iram / Accusation de colère,30,,Accusation of anger,19,,http://rationalwiki.org/wiki/Ad_iram,"Vous accusez votre contradicteur de colère, nuisant ainsi à la crédibilité de son argumentation.",96,"Accusing one's opponent of being angry or holding their beliefs for anger-related reasons, which purportedly disproves their argument or diminishes its weight.
",160,Peut-on vraiment faire confiance à un leader qui pleure comme un bébé ?,71,,,,,,,,,,circle,,,
144,1.3.2.3.3.1.1,7,,,,La colère est une faiblesse,27,,Anger and weakness,18,https://fr.wikisource.org/wiki/L%E2%80%99Art_d%E2%80%99avoir_toujours_raison/StratagA13%A8me_XXVII,,Vous mettez votre adversaire en colère pour exploiter ses faiblesses.,69,Anger is weakness.,18,,0,,,"Ce n'est pas du psychogenetique, ni même  du mauvaises raison c'est de la manipulation mentale. à dpéplacer.",,,,,2.2.2.2,,circle,,,
145,1.3.2.3.3.2,6,,,,Ad feminam,10,,Ad feminam,10,,http://www.thefreedictionary.com/Argumentum+ad+feminam,Votre argument se base sur la prémisse que l'on ne peut pas faire confiance aux femmes. ,88,Arguing on the basis of the unreliability of women.,51,Encore  une femme qui veut le beurre et l'argent du beurre. ,60,,,"A déplacer dans ad hominem. Ou bien affiner la définition: puisque c'est une femme elle a telle ou telle pattern psy qui l'amène à défendre cette thèse. Mais dans ce cas c'est trop spécifique, on l'enlève.",,,,,,,circle,,,
146,1.3.3,3,"Jesse OK
",1,,Manque de parcimonie,20,,Lack of Parsimony,17,https://fr.wikipedia.org/wiki/Rasoir_d%27Ockham,https://en.wikipedia.org/wiki/Occam%27s_razor,Votre raisonnement est douteux car il ne va pas au plus simple ou au plus probable.,83,Proving a point with an overly complex argumentation. ,54,Où sont mes clefs ? Quelqu'un a dû me les voler. C'est une conspiration qui cherche à me rendre fou.,100,Where are my keys? Who stole my keys ?! Why is everyone against me?,67,"
Jesse: Le lien sur le rasoir d'Ockham est le meilleur je crois
BEn: exemple bof: on ne voit pa sbien la conclusion prouvée par l'ajout (trop complexe il est vrai) de l'hypothèse du vol/ Proposition: Ajouter : ""tout le monde s'acharne sur moi.""",,,,rasoir d'Ockham,,,circle,,,
147,1.3.3.1,4,,,,Manquement au Rasoir d'Hanlon,29,,"Hanlon's razor failure
",23,,http://rationalwiki.org/wiki/Hanlon%27s_razor,"Vous expliquez des mauvais choix par des causes plus graves et plus complexes que d'autres. Par exemple, par la malveillance au lieu de l'erreur.
",146,"Explaining bad choices by causes worse and more complex than others. For example, by malice instead of error.",109,"Ils cherchent les saboteurs, alors qu'il ne savent même pas faire marcher ce système. ",86,Never attribute to malice that which can be adequately explained by stupidity,,,,,,,,,circle,,,
148,1.3.3.2,4,,,,Manquement au principe de charité,33,,Failing the principle of charity,32,https://fr.wikipedia.org/wiki/Principe_de_charitA13%A9,https://en.wikipedia.org/wiki/Principle_of_charity,Vous ne considérez pas prioritairement l'interprétation des propos d'autrui qui leur octroie le plus de rationalité.,116,Not considering first the interpretation which grants the maximum rationality to what someone is saying.,104,,0,,,,,,,,,,circle,,,
149,1.3.3.2.1,5,ok,,,Homme de paille,15,,Straw man,9,https://fr.wikipedia.org/wiki/A13%89pouvantail_(rhA13%A9torique),https://en.wikipedia.org/wiki/Straw_man,Vous caricaturez la position de votre contradicteur pour argumenter plus facilement contre lui.,95,"Attributing easily refutable claims to the opposing party, then disproving them easily.",87,Il est hors de question de monter le thermostat du chauffage à vingt et un degrés : je ne veux pas transformer notre appartement en serre tropicale !,149,,,"lien t
Trouver exemple non-politique",,"Vous refusez d'augmenter le budget de l'armée ? Soit, c'est votre affaire. Quant à moi, je refuse de laisser ainsi notre pays sans défense face à une menace grandissante.",You refuse to increase the defense budget. I don't want to stop protecting my own country.,,7.3.1.2,,circle,épouvantail prussien,,
150,1.3.3.3,4,,,,Canon de Morgan. Manquement au??? ,34,,"Unconformity with Morgan's canon.
",34,https://fr.wikipedia.org/wiki/Pathetic_fallacy,,"Vous attribuez plus de rationalité à des comportements animaux que nécessaire, au risque de tomber dans l'anthropomorphisme.",124,"Granting more rationality than necessary to animal behaviour, tthus risking to slip into anthropomorphic thinking.",114,"Si les fourmis y arrivent sans discuter, je vois pas pourquoi nous n'y arriverions pas. ",88,,,Lien t aavec biais culturel (anthropomorphisme),,,,,,,circle,,,
151,1.3.3.3.1,5,,,,Sophisme animiste,17,,Animist fallacy,15,http://sophismes.free.fr/,,Vous attribuez des caractères humains à d'autres créatures ou voyez des desseins dans des configurations inanimées.,115,Granting human characteristics to other creatures or intentionality to inanimates,81,,0,,,,,,,,,,circle,,,
152,1.3.3.3.1.1,6,,,,Sophisme pathétique,19,,Pathetic fallacy,16,https://fr.wikipedia.org/wiki/Pathetic_fallacy,https://en.wikipedia.org/wiki/Pathetic_fallacy,Vous attribuez des émotions humaines à des animaux ou a des choses inanimées.,77,Granting human emotions to animals or inanimates.,49,Que tone la langueur monotone de l'automne. ,44,,,,,,,,,,circle,,,
153,1.3.3.4,4,,,,Apophénie,9,,Apophenia,9,https://fr.wikipedia.org/wiki/Apoph%C3%A9nie,http://skepdic.com/apophenia.html,Vous attribuez un sens particulier à des événements banals en établissant des rapports non motivés entre les choses.,116,Attributing meaning to perceived connections or patterns between seemingly unrelated things.,92,Et c'est à ce moment là qu'est apparu le scarabée et que j'ai déterminé mon choix. ,83,,,,,,,,,,circle,,,
154,1.3.3.5,4,,,,Paréidolie,10,,Pareidolia,10,https://fr.wikipedia.org/wiki/ParA13%A9idolie,https://en.wikipedia.org/wiki/Pareidolia,Vous assimilez des formes aléatoires à des formes référencées.,62,Perceiving a familiar pattern where none exists.,48,Ne vois-tu pas la Vierge Marie dans ce rocher ?,47,,,,,,,,,,circle,,,
155,2,1,"Jesse OK
",1,,Influence,9,,Influence,9,https://fr.wikipedia.org/wiki/Influence_(psychologie),https://en.wikipedia.org/wiki/Social_influence,Vous manipulez votre auditoire pour le persuader au lieu de le convaincre.,74,Gaining the audience's support by manipulating them rather than rationally convincing them.,91,,0,"You would look so nice in that outfit. If you sign with us, you'll be able to buy it.",85,,,,,"On n'est jamais trahi que par les siens.""",,,square,labo dans le cerveau,#face00,
156,2.1,2,"Jesse OK
",1,,"Procédé
rhétorique",18,,Rhetorical device,17,,https://en.wikipedia.org/wiki/Rhetorical_device,Vous faites preuve d'une éloquence persuasive.,46,Your words have persuasive eloquence.,37,"""Si votre ramage se rapporte à votre plumage, vous êtes le phénix des hôtes de ces bois."" Jean de La Fontaine",109,"Will you really break my heart, burn my soul, strip my guts by not coming tonight?",82,,,,,,,,circle,,,
157,2.1.1,3,"Jesse OK
",2,,"Langage
persuasif",17,,Loaded language,15,https://en.wikipedia.org/wiki/Loaded_language,,Vous vous exprimez de manière à imposer implicitement les termes du débat.,74,Expressing oneself in a manner which subrepticely sets the debating framework.,78,"À votre avis, les élites, responsables de cette situation, peuvent-elles nous en sortir ?",89,Can the elites fix the situation they put us in?,48,,,,,,,,circle,géant qui verse son fardeau,,
158,2.1.1.1,4,,,,Argument par la question,24,,Argument by question,20,http://www.don-lindsay-archive.org/skeptic/arguments.html#question,http://www.don-lindsay-archive.org/skeptic/arguments.html#question,Vous posez une question difficile afin que votre contradicteurr soit simpliste soit prolixe.,92,"Asking an opponent a question which lives the contestor with choice between appearing
weak or long-winded.",106,,0,,,,,,,,,,circle,,,
159,2.1.1.1.1,5,"Jesse OK
",2,,Question piège,14,,Trick question,14,https://fr.wikipedia.org/wiki/Plurium_interrogationum,https://en.wikipedia.org/wiki/Complex_question,Vous interrogez votre contradicteur en mentionnant des faits dont vous souhaitez que l'auditoire les tienne pour acquis.,120,Asking a question that presumes facts one wants to convince an audience of.,75,Avez-vous arrêté de martyriser votre chien ?,44,Have you stopped tormenting your dog?,37,ben: j'aime bien l'exemple des poils de la tortue (voir proverbe),plurium interrogationum,,,Les poils de la tortue sont-ils durs ou sont-ils mous ? Le fils de la  femme stérile est-il malade ou bien portant ?,,,circle,diable dans la boîte,,
160,2.1.1.1.1.1,6,,,,Question rhétorique,19,,Rhetorical question,19,,http://www.don-lindsay-archive.org/skeptic/arguments.html#rhetorical_question,Vous posez une question dans le but de susciter une réponse bien précise. ,74,Asking a question in order to generate a particular answer.,59,Quand reverserons-nous leurs pensions à nos vétérans ?,54,,,,,,,,,,circle,,,
161,2.1.1.1.2,5,,,,Question à deux volets (question complexe) /multiple /multidimensionnelle / composée,84,,Compound question,17,,https://en.wikipedia.org/wiki/Double-barreled_question,Vous posez une question qui porte sur plusieurs éléments mais n'admet qu'une seule réponse. ,92,"Asking a question that touches upon more than one issue, yet allows only for one answer",87,Etes-vous d'accord que les voitures devraient être plus sûres et plus rapides ?,79,,,,,,,,,,circle,,,
162,2.1.1.1.3,5,"Jesse OK
",1,,Fausse alternative,18,,Alternative advance,19,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/16/Alternative-Advance,Vous présentez un choix entre deux propositions qui mènent au même résultat.,76,"Pretending to offer an alternative, whereas its terms lead to essentially similar results.",90,Pile je gagne. Face tu perds.,29,"Do you have a few minutes to spare, or should I call you in an hour?",68,suprebe exemple (ben),,,,Choisir entre la peste ou le choléra.,,,circle,pendu et guillotine,,
163,2.1.1.2,4,ok,,,Pétition de principe,20,,Begging the question,20,https://fr.wikipedia.org/wiki/P%C3%A9tition_de_principe,https://en.wikipedia.org/wiki/Begging_the_question,Vous présupposez les conclusions que votre raisonnement est censé prouver.,74,Proving a proposition with an argumentation that takes it for granted.,70,"Mieux vaut avoir un chat plutôt qu'un chien, car les chats sont de meilleurs animaux de compagnie.",98,"Owning a cat is better than owning a dog, because cats are the best pets.",,,petitio principii,Vous devez voter pour nous : notre parti est celui qui vous représente le mieux.,"Vote for us, because our party best represents you.",,4.1.1,,circle,,,
164,2.1.1.3,4,"Jesse OK
",2,,"Définition
persuasive",21,,Persuasive definition,21,,https://en.wikipedia.org/wiki/Persuasive_definition,Vous déterminez de manière partiale les certains des termes sur lesquels repose votre argumentation.,100,Using a biased definition of some of the terms of the debate.,61,"Cet homme est un athée, quelqu'un qui n'a pas été touché par la grâce de Dieu.",78,Let's define 'atheist' as someone who doesn't yet realize that God exists.,74,,,,,,5.1.2.3,,circle,,,
165,2.1.1.3.1,5,,,,"Mots fouines /en FRançais, la fouine c'est celle qui cherche, pas la traître. Plutôt planche-pourrie.",101,,Weasel word,11,,https://en.wikipedia.org/wiki/Weasel_word,Vous utilisez des mots qui donnent à votre argument vague ou ambigu une apparence de précision. ,96,"Using words that create an impression that a specific or meaningful statement has been made, when instead it was only a vague or ambiguous claim.",145,"""Je vous ai compris !""",22,,,,,,,,,,circle,,,
166,2.1.1.3.2,5,,,,Langage idiosynchratique,24,,Idiosyncratic language,22,,http://www.ditext.com/fearnside/51.html,"Vous chargez des mots d'un sens différent, voire opposé à leur sens communément admis.",86,"Charging words with meanings different from, and sometimes opposite to, the usual range of the words in their conventional contexts.",132,Ce sont des monstres impérialistes et bourgeois. ,49,,,,,,,,1.3.1.3.1,,circle,,,
167,2.1.1.3.2.1,6,,,,Elément de langage,18,,Talking points,14,https://fr.wikipedia.org/wiki/Élément_de_langage,https://en.wikipedia.org/wiki/Talking_point,"Votre argument utilise des termes pré-établis et fréquents, donc chargé d'un sens qui les dépasse. ",99,Repeatedly using succinct statements designed to support persuasively one side taken on an issue.,97,Ce pays a besoin d'une direction stable et forte. ,50,,,,,,,,,,circle,,,
168,2.1.1.3.2.2,6,,,,Double langage,14,,Double speak,12,,https://en.wikipedia.org/wiki/Doublespeak,"Vos formulations obscurcissent, déforment, voilent ou inversent volontairement le sens des mots, de sorte à ne pas communiquer ce que vous semblez dire.",152,"Using language that deliberately obscures, disguises, distorts, or reverses the meaning of words, in order to not express what it seems.",136,Nous allons dégraisser le mammouth,34,Downsizing = layoffs,,,,,,,,,circle,,,
169,2.1.1.3.2.3,6,,,,Jargon corporate,16,,Corporate jargon,16,,https://en.wikipedia.org/wiki/Corporate_jargon,"Vous utilisez des termes propres à votre milieu professionnel, ce qui rend votre discours difficile à comprendre et vos intentions difficiles à lire. ",150,"Using a terminology specific to a professional milieu, thus increasing the opacity of  language.",96,On n'avancera qu'en capitalisant  sur ce leverage. ,51,,,,,,,,,,circle,,,
170,2.1.1.3.2.4,6,,,,"Blabla technologique / poudre aux yeux technique, scientifique",62,,Technobabble,12,,http://rationalwiki.org/wiki/Technobabble,Vous décorez votre argument de termes scientifiques sans fondement.,67,Decorating your argument with glittery scientific words which are not related to any scientific reality.,104,Le bouclier anti gravitationnel provoque le mouvement de l'aimant. ,67,,,,,,,"If you can't dazzle them with brilliance, baffle them with bullshit. —anon",,,circle,,,
171,2.1.1.3.2.5,6,,,,Buzzword,8,,Buzzword,8,https://fr.wikipedia.org/wiki/Buzzword,,Vous utilisez un terme à la mode pour appuyer votre argument. ,62,"Using popular, catchy words or phrases to support you argument.",63,La médecine douce coûte tellement moins cher au contribuable. ,62,,,,,,,,,,circle,,,
172,2.1.1.3.2.6,6,,,,"Cryptage à sens unique / nom bof, je trouve pas mieux.",54,,One-way hash,12,,http://rationalwiki.org/wiki/One-way_hash_argument,"Affirmer une assertion simple, malhonnête et contre laquelle il est difficile d'argumenter sunccinctement.  ",108,Making a simple yet typically dishonest assertion that is difficult and time consuming for an opponent to rebut.,112,,0,,,"lien t question difficile, lien t renversement charge de la preuve",,,,,,,circle,,,
173,2.1.1.4,4,"Jesse OK
",1,,"Poncif
anticritique",19,,Thought-terminating cliché,26,https://fr.wikipedia.org/wiki/Thought-terminating_cliché,https://en.wikipedia.org/wiki/Clich%C3%A9#Thought-terminating_clich.C3.A9,Vous utilisez des clichés accrocheurs pour court-circuiter toute réflexion argumentée.,86,"Using catchy truisms to shortcut reflexion, critical thought or discussion.",75,Ne cherche pas plus loin: c'est la vie avec ses joies et ses peines.,68,"We must apply zero-tolerance policy on children too, because he whos steals an egg steals an ox.",96,,,,,"Qui vole un oeuf, vole un boeuf.",,,circle,slogan,,
174,2.1.1.4.1,5,,,,L'argument par slogan,21,,Argument by slogan,18,,http://www.don-lindsay-archive.org/skeptic/arguments.html#slogan,Votre argumentation s'appuie s'appuie sur l'efficacité concise d'un slogan. ,76,Using a slogan for its concision and efficacy to support one's argument.,72,Mieux  vaut mort que rouge. ,28,,,,,,,,,,circle,,,
175,2.1.1.4.2,5,,,,Petite phrase,13,,Punchy line,11,https://fr.wikipedia.org/wiki/Petite_phrase,,Votre argumentation s'appuie sur une petite phrase destinée à marquer les esprits.,82,Supporting an argument by quoting punchy lines.,47,"Même quand je ne dis rien, cela fait du bruit"" (Ségolène Royal, 2006)",69,,,,,,,,,,circle,,,
176,2.1.1.4.3,5,,,,Pensée Cliché,13,,Cliché thinking,15,,http://www.don-lindsay-archive.org/skeptic/arguments.html#cliche,Votre argument s'appuie sur un dicton bien connu. ,50,"Using as evidence a well-known wise saying, as if that is proven, or as if it has no exceptions.
",97,Les immigrés ne comprennent rien à la politesse.,48,,,,,,,,1.1.3.4,,circle,,,
177,2.1.1.4.4,5,,,,Technique du carpaccio,22,,Carpaccio technique,19,https://cortecs.org/materiel/scenarisation-de-linformation-la-technique-du-carpaccio/,,Vous scénarisez l'exposé de votre argument dans le but de le rendre plus attirant. ,83,Presenting an argument in a carefully crafted scenario in order to make it more attractive.,91,"Le président, après s'être rendu sur les lieux du drame, a déclaré se rendre auprès des responsables syndicaux. ",112,,,,,,,,,,circle,,,
178,2.1.1.5,4,,,,Preuve par intimidation,23,,Proof by intimidation,21,,https://en.wikipedia.org/wiki/Proof_by_intimidation,Vous utilisez un langage propre à intimider l'auditoire pour forcer son accord. ,80,"Using language in an intimidating manner, in order to force the audience's agreement.",85,,0,,,Lien t argument d'autorité,,,,,,,circle,,,
179,2.1.1.5.1,5,,,,Preuve par le jargon prestigieux,32,,Proof by prestigious jargon,27,,http://www.don-lindsay-archive.org/skeptic/arguments.html#jargon,Votre argumentation s'appuie sur un jargon prestigieux.,55,Using prestigious  jargon in order to impress your audience.,60,Tout ceci est encore une conséquence du champs quantique. ,58,,,,,,,,,,circle,,,
180,2.1.1.5.1.1,6,,,,Preuve par le latin,19,,Proof by Latin,14,,"http://rationalwiki.org/wiki/Quidquid_latine_dictum_sit,_altum_videtur",Vous impressionnez votre auditoire en utilisant des locutions latines.,70,Impressing an audience with the use of Latin phrases.,53,,0,,,,"Quidquid_latine_dictum_sit,_altum_videtur",,,,,,,,,
181,2.1.1.5.2,5,,,,Preuve par les grands nombres,29,,Proof by large numbers,22,,http://www.ditext.com/fearnside/17.html,Vous impressionnez votre auditoire par des grands nombres.,58,Impressing an audience with the use of large numbers.,53,Les 150 000 femmes qui ont déjà acheté ce parfum ne peuvent pas se tromper. ,76,,,"Définition imprécise parceque j'hésite entre l'effet impressionant/intimidant du nombre comme le suggère la  famille / sous-famille, et l'argument par la quantité, où ce n'est pas le nombre en soi qui convainc, mais la quantité de personnes qui soutiennent etc... comme décrit dans le lien. En tous cas, lien t argument de la majorité.",,,,,,,circle,,,
182,2.1.1.5.3,5,,,,Argument par le charabia,24,,Argument by gibberish,21,,http://www.don-lindsay-archive.org/skeptic/arguments.html#gibberish,Votre argumentation est incompréhensible car elle n'a pas de sens malgré son aspect intelligent.,96,You argue with formulations which seem intelligent but bear no meaning at all.,78,L'émergence de la conscience dépend de l'esprit holographique qui se réfléchit en nous. ,88,,,,,,,"""Each autonomous individual emerges holographically within egoless ontological consciousness as a non-dimensional geometric point within the transcendental thought-wave matrix.""",,,circle,,,
183,2.1.1.5.4,5,,,,Effet impact,12,,Impact,6,https://cortecs.org/materiel/leffet-impact/,,Le choix des mots de votre argument dépend de l'impact escompté sur votre auditeur. ,84,"Choisong formulations for tjheir impact on the audience, independently from their explicit meaning.",99,L'armée a bien procédé à une frappe chirurgicale lors d'une incursion pour laquelle aucune perte collatérale n'a été à déplorer. ,129,,,L'effet impact c'est jouer sur connotation vs dénotation. C'est beaucoup plus général que intimlidation. LA conotation mérite une sous-famile à part entière.RH2TORIQUE > LANGUAGE CHARG2 > CONNOTATION.,,,,,,,circle,,,
184,2.1.1.5.5,5,,,,Effet puits,11,,"Sinkhole argument
",18,https://cortecs.org/materiel/leffet-puits/,,Vous vous exprimez de manière suffisamment creuse et pompeuse pour ne rien dire mais permettre à chacun de s'y retrouver.,121,"Using pompous formulations that are so empty that, although they mean nothing, provide anyone with what they want to hear.
",123,"« Considérant la conjoncture actuelle, il est nécessaire de prendre en compte chacune des problématiques déjà en notre possession, afin de pouvoir prendre les mesures indispensables pour y répondre pertinemment. »",213,,,,,,,,,,circle,,,
185,2.1.1.5.6,5,,,,Pléthore de références d'autorité,33,,Appeal to many authoritative references,39,,http://rationalwiki.org/wiki/Linking_to_authority,Vous prétendez que votre discours s'appuie sur de nombreuses références faisant autorité.,89,Pretending that an argumentation is backed-up by many authoritative references.,79,,0,,,un peu généralisé la def du rationalwiki. travailler sur le titre.,,,,,,,,,,
186,2.1.1.6,4,,,,Langage à préjugés / préjugés dans la langue,44,,Prejudicial language,20,,https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/143/Prejudicial-Language,Votre argumentation utilise des termes dont  la charge morale préjuge de la conclusion. ,88,Loaded or emotive terms used to attach value or moral goodness to believing the proposition.,92,Tous les bons catholiques savent que les pensées impures viennent du Diable et qu'il faut donc y résister à tout prix. ,119,,,,,,,"All good Catholics know that impure thoughts are the work of the devil, and should be resisted at all costs.",,,circle,,,
187,2.1.1.6.1,5,,,,Formulation à tiroirs,21,,Dog-whistle politics,20,,https://en.wikipedia.org/wiki/Dog-whistle_politics,"Vous employez des formulations qui, au-delà d'un sens pour le grand public, portent d 'autres significations spécifiques à un groupe ciblé.",139,"Employing coded language that appears to mean one thing to the general population but has an additional, different or more specific resonance for a targeted subgroup.",166,"""La première usine qu'il faut faire en France, c'est une usine à couilles !"" (J.M. Le Pen, 2012) ou Mon personnel de maison est noir, mon cuisinier est noir [...] que faut-il que je fasse ? Que je me marie avec un noir, homosexuel et sidaïque ?"" (21 avril 2002)",261,,,,,,,,,,circle,,,
188,2.1.1.6.1.1,6,,,,Appel au racisme,16,,The race card,13,,http://rationalwiki.org/wiki/Race_card,Vous jouez sur les sentiments racistes ou anti-raciste pour promouvoir vos idées.,81, Trying to exploit racism or anti-racism in order to advance a position.,72,,0,,,,,,,,,,circle,,,
189,2.1.1.6.2,5,,,,Grossièreté,11,,Vulgarism,9,,https://en.wikipedia.org/wiki/Rudeness,Vous choquez par des vulgarités pour gagner l'attention de l'auditoire.,71,Resorting to vulgarism to catch the attention of the audience.,62,"""Et si vous rajoutez en plus le bruit et l'odeur."" ",51,,,"Là j'ai inventé. C'st bien cela quie vous attendiez? lien t appel à l'émotion, connivence, appel au sentiments crasseux",,,,,,,circle,,,
190,2.1.1.6.2.1,6,,,,Effet vitriol / hargneux,24,,Nasty effect,12,,http://skepdic.com/nastyeffect.html,Vous suscitez des commentaires hargneux pour caricaturer les positions et brimer toute position nuancée.,104,"Using nasty comments to polarize the debate, thus discouraging more elaborate reflexion.
",89,Préférez-vous faire confiance à la horde des trollers ?,55,,,,,,,,,,circle,,,
191,2.1.1.6.3,5,,,,Langage moralisateur,20,,Judgemental language,20,,https://en.wikipedia.org/wiki/Judgmental_language,Vous employez des formulations méprisantes ou critiques pour influencer le jugement de votre interlocuteur.,107,"Employing insulting, compromising or pejorative language to influence the recipient's judgment.",95,,0,,,,,,,"The surgeon general says that smoking is harmful to your health. Nowhere in the Bible is it said that you shouldn't smoke. So who are you gonna listen to, some quack or the Lord God Almighty?",,,circle,,,
192,2.1.2,3,"Jesse OK
",1,,Humour,6,,Humour,6,https://fr.wikipedia.org/wiki/Humour,https://en.wikipedia.org/wiki/Humour,Vous employez des procédés comiques pour rendre votre argumentation plus séduisante.,84,Using humour to make an argumentation more appealing.,53,"Je ne suis pas vieux, voyons ! Je suis tout simplement jeune depuis plus longtemps que toi...",93,"I'm not old, I just have been younger for a longer time than you.",65,,,,,"Autant le mot est léger pour celui qui le jette, autant il est lourd pour celui qui le reçoit.""",,,circle,,,
193,2.1.2.1,4,,,,Comique,7,,,0,https://fr.wikipedia.org/wiki/Comique,,,0,,0,,0,,,,,,,,,,circle,,,
194,2.1.2.1.1,5,,,,Blague,6,,,0,https://en.wikipedia.org/wiki/Joke,,Ensemble verbale dont la tension est à son maximum avec la chute. ,66,,0,Ma copine m'a dit que c'était pas grave d'avoir un petit pénis. je lui ai répondu que j'aurais préféré qu'elle en ait pas du tout. ,131,,,,,,,,,,circle,,,
195,2.1.2.1.2,5,,,,Absurde,7,,,0,https://fr.wikipedia.org/wiki/Humour_absurde,,Votre argument a pour ressort un humour qui viole délibérément les raisons causales pour aboutir à une conclusion absurde. ,123,,0,"« Après l'assassinat du tsar Nicolas II en Russie, un représentant du gouvernement en Ukraine menace un rabbin : « Je suppose que tu sais qui est derrière ça. » « Ach, répond le rabbin, je n'en sais rien, mais de toute façon le gouvernement va conclure comme d'habitude : ce sera la faute des Juifs et des ramoneurs. » Étonné, l'homme du gouvernement demande : « Pourquoi les ramoneurs ? » Le rabbin lui répond : « Pourquoi les Juifs ? »",437,,,,,,,,,,circle,,,
196,2.1.2.1.2.1,6,,,,Amphigouri,10,,,0,https://fr.wikipedia.org/wiki/Amphigouri,,Votre formulation est volontairement obscure pour être comprise de peu de monde. ,81,,0,"Chérie, La carence affective consécutive à ta désescalade a complètement perturbé les connexions qui régissent les cantons de mon champ perceptif ! Je suis en état de déréliction, plongé dans un autisme frisant la prostration Schizoïde !..."" (Robert Beauvais, L'Hexagonal tel qu'on le parle)",291,,,,,,,"""Voilà pourquoi votre fille est muette"" (Molière). ",,,circle,,,
197,2.1.2.1.2.2,6,,,,Burlesque,9,,,0,https://fr.wikipedia.org/wiki/Burlesque,,"Votre formulation utilise des termes comiques, familiers et vulgaires pour évoquer des choses nobles et sérieuses.",114,,0,La femme n'est qu'un objet marié à demi. ,41,,,,,,,,,,circle,,,
198,2.1.2.1.2.3,6,,,,Paradoxe du menteur,19,,,0,https://fr.wikipedia.org/wiki/Paradoxe_du_menteur, Épiménide le Crétois (,Vous mentez en général tout en disant vrai sur un point en particulier. ,72,,0,« Un homme disait qu'il était en train de mentir. Ce que l'homme disait est-il vrai ou faux ? »,95,,,,,,,« La phrase suivante est fausse. La phrase précédente est vraie. »,,,circle,,,
