!;

!key;family;rel;carte;shape;image;latin;image;text_fr;text_en;desc_fr;desc_en;example_fr;example_en;proverbe;link_fr;link_en;label

*root;Arguments fallacieux;;;diamond;;;;Arguments fallacieux;;;;;;;https://fr.wikipedia.org/wiki/Sophisme;;Arguments fallacieux
1.2.2.1;Insuffisance;;;circle;;;;Sophisme est-doit;;;;;;;http://www.bargain-storage.com/uploads/9/8/7/4/9874916/attacking.faulty.reasoning.a.practical.guide.to.fallacyfree.arguments.pdf#page=158;;Sophisme est-doit
1.2.2.2;Insuffisance;;;circle;;;;Raison de la majorité (ad populum);;;;;;;https://fr.wikipedia.org/wiki/Argumentum_ad_populum;;Raison de la majorité (ad populum)
1.2.2.2.1;Insuffisance;;;circle;;;;3 hommes font un tigre;;;;;;;https://en.wikipedia.org/wiki/Three_men_make_a_tiger;;3 hommes font un tigre
1.2.2.2.2;Insuffisance;;;circle;;;;Agiter le drapeau;;;;;;;https://en.wikipedia.org/wiki/Flag-waving;;Agiter le drapeau
1.2.2.2.3;Insuffisance;;;circle;;;;Boire le Kool Aid;;;;;;;https://en.wikipedia.org/wiki/Drinking_the_Kool-Aid;;Boire le Kool Aid
1.2.2.2.4;Insuffisance;;;circle;;;;Ad numerum;;;;;;;https://infidels.org/library/modern/mathew/logic.html#numerum;;Ad numerum
1.2.2.3;Insuffisance;;;circle;;;;Appel à la tradition;;;;;;;https://fr.wikipedia.org/wiki/Argumentum_ad_antiquitatem;;Appel à la tradition
1.2.2.3.1;Insuffisance;;;circle;;;;Argument de l'age (ad antiquitatem);;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/50/Argument-from-Age;;Argument de l'age (ad antiquitatem)
1.2.2.3.2;Insuffisance;;;circle;;;;Pas inventé ici;;;;;;;https://en.wikipedia.org/wiki/Not_invented_here;;Pas inventé ici
1.2.2.4;Insuffisance;;;circle;;;;Appel à la nature;;;;;;;https://en.wikipedia.org/wiki/Appeal_to_nature;;Appel à la nature
1.2.2.4.1;Insuffisance;;;circle;;;;Ecoblanchiment (greenwashing);;;;;;;https://fr.wikipedia.org/wiki/%C3%89coblanchiment;;Ecoblanchiment (greenwashing)
1.2.2.4.2;Insuffisance;;;circle;;;;Technophobie;;;;;;;https://fr.wikipedia.org/wiki/Technophobie;;Technophobie
1.2.2.4.3;Insuffisance;;;circle;;;;Le bon sauvage;;;;;;;https://fr.wikipedia.org/wiki/Bon_sauvage;;Le bon sauvage
1.2.3;Insuffisance;;;circle;;;;Sophisme moraliste;;;;;;;https://en.wikipedia.org/wiki/Moralistic_fallacy;;Sophisme moraliste
1.2.3.1;Insuffisance;;;circle;;;;Appel à la foi;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/31/Appeal-to-Faith;;Appel à la foi
1.2.3.1.1;Insuffisance;;;circle;;;;Argument par la futur;;;;;;;http://www.don-lindsay-archive.org/skeptic/arguments.html#future;;Argument par la futur
1.2.3.2;Insuffisance;;;circle;;;;Argument de la nouveauté (ad novitatem);;;;;;;https://fr.wikipedia.org/wiki/Argumentum_ad_novitatem;;Argument de la nouveauté (ad novitatem)
1.2.3.2.1;Insuffisance;;;circle;;;;Snobisme chronologique;;;;;;;https://en.wikipedia.org/wiki/Chronological_snobbery;;Snobisme chronologique
1.2.3.3;Insuffisance;;;circle;;;;moral high ground fallacy;;;;;;;https://en.wikipedia.org/wiki/Moral_high_ground#Everyday_use;;moral high ground fallacy
1.2.3.3.1;Insuffisance;;;circle;;;;Snobbisme;;;;;;;https://fr.wikipedia.org/wiki/Snob;;Snobbisme
1.2.3.3.1.1;Insuffisance;;;circle;;;;Elitisme;;;;;;;https://fr.wikipedia.org/wiki/%C3%89litisme;;Elitisme
1.2.3.3.2;Insuffisance;;;circle;;;;Argument du politiquement correct;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/141/Political-Correctness-Fallacy;;Argument du politiquement correct
1.2.3.3.2.1;Insuffisance;;;circle;;;;Blasphème;;;;;;;http://skepdic.com/blasphemy.html;;Blasphème
1.2.3.3.2.2;Insuffisance;;;circle;;;;Manquement à l'étiquette;;;;;;;https://fr.wikipedia.org/wiki/%C3%89tiquette_(code);;Manquement à l'étiquette
1.2.3.4;Insuffisance;;;circle;;;;Le style avant la substance;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/170/Style-Over-Substance;;Le style avant la substance
1.2.3.4.1;Insuffisance;;;circle;;;;Argument du design;;;;;;;;;Argument du design
1.2.3.4.1.1;Insuffisance;;;circle;;;;Argument de la beauté;;;;;;;http://rationalwiki.org/wiki/Argument_from_beauty;;Argument de la beauté
1.2.3.4.2;Insuffisance;;;circle;;;;Preuve par le droit;;;;;;;https://www.logicallyfallacious.com/tools/lp/Bo/LogicalFallacies/157/Rights-To-Ought-Fallacy;;Preuve par le droit
1.2.3.5;Insuffisance;;;circle;;;;Sophismes d'argent;;;;;;;;;Sophismes d'argent
1.2.3.5.1;Insuffisance;;;circle;;;;Raison du plus riche (ad crumenam);;;;;;;https://fr.wikipedia.org/wiki/Argumentum_ad_crumenam;;Raison du plus riche (ad crumenam)
1.2.3.5.2;Insuffisance;;;circle;;;;Raison du plus pauvre (ad lazarum);;;;;;;https://fr.wikipedia.org/wiki/Argumentum_ad_lazarum;;Raison du plus pauvre (ad lazarum)
1.3;Insuffisance;;;circle;;;;Surinterprétation;;;;;;;;;Surinterprétation
1.3.1;Insuffisance;;;circle;;;;Sophisme ludique;;;;;;;https://en.wikipedia.org/wiki/Ludic_fallacy;;Sophisme ludique
1.3.1.1;Insuffisance;;;circle;;;;sophisme quantitatif;;;;;;;https://en.wikipedia.org/wiki/McNamara_fallacy;;sophisme quantitatif
1.3.1.2;Insuffisance;;;circle;;;;Biais rétrospectif;;;;;;;https://fr.wikipedia.org/wiki/Biais_r%C3%A9trospectif;;Biais rétrospectif
1.3.1.2.1;Insuffisance;;;circle;;;;Sophisme de l'historien;;;;;;;https://en.wikipedia.org/wiki/Historian%27s_fallacy;;Sophisme de l'historien
1.3.1.2.2;Insuffisance;;;circle;;;;Déterminisme rétrospectif;;;;;;;https://en.wikipedia.org/wiki/Retrospective_determinism;;Déterminisme rétrospectif
1.3.1.2.3;Insuffisance;;;circle;;;;Clarivoyance rétroactive;;;;;;;http://skepdic.com/retroactiveclairvoyance.html;;Clarivoyance rétroactive
